,between_days,depYear,c_uniqueUnitID,latitudeDeployed_DecDeg,longitudeDeployed_DecDeg,DataType
0,2011-02-17,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-02-18,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-02-19,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-02-20,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-02-21,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-02-22,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-02-23,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-02-24,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-02-25,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-02-26,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-02-27,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-02-28,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-01,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-02,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-03,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-04,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-05,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-06,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-07,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-08,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-09,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-10,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-11,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-12,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-13,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-14,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-15,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-16,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-17,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-18,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-19,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-20,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-21,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-22,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-23,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-24,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-25,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
0,2011-03-26,2011,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,41.9412,-70.288,Acoustic
