,between_days,c_recordOnDays
738,2013-01-08,
739,2013-01-09,
740,2013-01-10,
741,2013-01-11,
742,2013-01-12,
743,2013-01-13,
744,2013-01-14,
745,2013-01-15,
746,2013-01-16,
747,2013-01-17,
748,2013-01-18,
749,2013-01-19,
750,2013-01-20,
751,2013-01-21,
752,2013-01-22,
753,2013-01-23,
754,2013-01-24,
755,2013-01-25,
756,2013-01-26,
757,2013-01-27,
758,2013-01-28,100
759,2013-01-29,100
760,2013-01-30,100
761,2013-01-31,100
762,2013-02-01,100
763,2013-02-02,100
764,2013-02-03,100
765,2013-02-04,100
766,2013-02-05,100
767,2013-02-06,100
768,2013-02-07,100
769,2013-02-08,100
770,2013-02-09,100
771,2013-02-10,100
772,2013-02-11,100
773,2013-02-12,100
774,2013-02-13,100
775,2013-02-14,100
776,2013-02-15,100
777,2013-02-16,100
778,2013-02-17,100
779,2013-02-18,100
780,2013-02-19,100
781,2013-02-20,100
782,2013-02-21,100
783,2013-02-22,100
784,2013-02-23,100
785,2013-02-24,100
786,2013-02-25,100
787,2013-02-26,100
788,2013-02-27,100
789,2013-02-28,100
790,2013-03-01,100
791,2013-03-02,100
792,2013-03-03,100
793,2013-03-04,100
794,2013-03-05,100
795,2013-03-06,100
796,2013-03-07,100
797,2013-03-08,100
798,2013-03-09,100
799,2013-03-10,100
800,2013-03-11,100
801,2013-03-12,100
802,2013-03-13,100
803,2013-03-14,100
804,2013-03-15,100
805,2013-03-16,100
806,2013-03-17,100
807,2013-03-18,100
808,2013-03-19,100
809,2013-03-20,100
810,2013-03-21,100
811,2013-03-22,100
812,2013-03-23,100
813,2013-03-24,100
814,2013-03-25,100
815,2013-03-26,100
816,2013-03-27,100
817,2013-03-28,100
818,2013-03-29,100
819,2013-03-30,100
820,2013-03-31,100
821,2013-04-01,100
822,2013-04-02,100
823,2013-04-03,100
824,2013-04-04,100
825,2013-04-05,100
826,2013-04-06,100
827,2013-04-07,100
828,2013-04-08,100
829,2013-04-09,100
830,2013-04-10,100
831,2013-04-11,100
832,2013-04-12,100
833,2013-04-13,100
834,2013-04-14,100
835,2013-04-15,100
836,2013-04-16,100
837,2013-04-17,100
838,2013-04-18,100
839,2013-04-19,100
840,2013-04-20,100
841,2013-04-21,100
842,2013-04-22,100
843,2013-04-23,100
844,2013-04-24,100
845,2013-04-25,100
846,2013-04-26,100
847,2013-04-27,100
848,2013-04-28,100
849,2013-04-29,100
850,2013-04-30,100
851,2013-05-01,100
852,2013-05-02,100
853,2013-05-03,100
854,2013-05-04,100
855,2013-05-05,100
856,2013-05-06,100
857,2013-05-07,
858,2013-05-08,
859,2013-05-09,
860,2013-05-10,
861,2013-05-11,
862,2013-05-12,
863,2013-05-13,
864,2013-05-14,
865,2013-05-15,
866,2013-05-16,
867,2013-05-17,
868,2013-05-18,
869,2013-05-19,
870,2013-05-20,
871,2013-05-21,
872,2013-05-22,
873,2013-05-23,
874,2013-05-24,
875,2013-05-25,
876,2013-05-26,
877,2013-05-27,
878,2013-05-28,
879,2013-05-29,
880,2013-05-30,
881,2013-05-31,
1096,2014-01-01,
1097,2014-01-02,
1098,2014-01-03,
1099,2014-01-04,
1100,2014-01-05,
1101,2014-01-06,
1102,2014-01-07,
1103,2014-01-08,
1104,2014-01-09,
1105,2014-01-10,
1106,2014-01-11,
1107,2014-01-12,
1108,2014-01-13,
1109,2014-01-14,
1110,2014-01-15,
1111,2014-01-16,
1112,2014-01-17,
1113,2014-01-18,
1114,2014-01-19,
1115,2014-01-20,
1116,2014-01-21,
1117,2014-01-22,
1118,2014-01-23,
1119,2014-01-24,
1120,2014-01-25,
1121,2014-01-26,
1122,2014-01-27,
1123,2014-01-28,
1124,2014-01-29,
1125,2014-01-30,
1126,2014-01-31,
1127,2014-02-01,
1128,2014-02-02,
