deployDate,recoveryDate
02/23/08,05/20/08
02/17/09,05/16/09
03/08/10,05/05/10
2/17/11,05/08/11
1/28/13,05/06/13
03/01/14,5/21/14
2/17/15,5/21/15
2/15/16,5/25/16
2/21/17,5/16/17
2/13/18,5/30/18
