,Date,DataType,sightings,Overlap
141,2009-04-11,Acoustic,,Acoustic
142,2009-04-12,Acoustic,,Acoustic
143,2009-04-13,Acoustic,,Acoustic
144,2009-04-14,Acoustic,,AcousticWhale
145,2009-04-15,Acoustic,,Acoustic
146,2009-04-16,Acoustic,,Acoustic
147,2009-04-17,Acoustic,,AcousticWhale
148,2009-04-18,Acoustic,,AcousticWhale
149,2009-04-19,Acoustic,,Acoustic
150,2009-04-20,Acoustic,,Acoustic
151,2009-04-21,Acoustic,,Acoustic
152,2009-04-22,Acoustic,,Acoustic
153,2009-04-23,Acoustic,,Acoustic
154,2009-04-24,Acoustic,,AcousticWhale
155,2009-04-25,Acoustic,,AcousticWhale
156,2009-04-26,Acoustic,,AcousticWhale
157,2009-04-27,Acoustic,,AcousticWhale
158,2009-04-28,Acoustic,,Acoustic
159,2009-04-29,Acoustic,,Acoustic
160,2009-04-30,Acoustic,,AcousticWhale
161,2009-05-01,Acoustic,,Acoustic
162,2009-05-02,Acoustic,,Acoustic
163,2009-05-03,Acoustic,,Acoustic
164,2009-05-04,Acoustic,,AcousticWhale
165,2009-05-05,Acoustic,,Acoustic
166,2009-05-06,Acoustic,,Acoustic
167,2009-05-07,Acoustic,,Acoustic
168,2009-05-08,Acoustic,,Acoustic
169,2009-05-09,Acoustic,,Acoustic
170,2009-05-10,Acoustic,,Acoustic
171,2009-05-11,Acoustic,,Acoustic
172,2009-05-12,Acoustic,,Acoustic
173,2009-05-13,Acoustic,,Acoustic
174,2009-05-14,Acoustic,,Acoustic
175,2009-05-15,Acoustic,,Acoustic
176,2009-05-16,Acoustic,,Acoustic
177,2010-03-08,Acoustic,,Acoustic
178,2010-03-09,Acoustic,,Acoustic
179,2010-03-10,Acoustic,,Acoustic
180,2010-03-11,Acoustic,,Acoustic
181,2010-03-12,Acoustic,,AcousticWhale
182,2010-03-13,Acoustic,,Acoustic
183,2010-03-14,Acoustic,,Acoustic
184,2010-03-15,Acoustic,,Acoustic
185,2010-03-16,Acoustic,,Acoustic
186,2010-03-17,Acoustic,,AcousticWhale
187,2010-03-18,Acoustic,,Acoustic
188,2010-03-19,Acoustic,,AcousticWhale
189,2010-03-20,Acoustic,,Acoustic
190,2010-03-21,Acoustic,,AcousticWhale
191,2010-03-22,Acoustic,,Acoustic
192,2010-03-23,Acoustic,,Acoustic
193,2010-03-24,Acoustic,,Acoustic
