Date,DataType,sightings
2012-01-23,Whale_NARWC,12
2012-01-26,Whale_CCS,0
2012-01-26,Whale_NARWC,40
2012-02-02,Whale_CCS,0
2012-02-02,Whale_NARWC,14
2012-02-05,Whale_CCS,0
2012-02-05,Whale_NARWC,47
2012-02-09,Whale_CCS,0
2012-02-09,Whale_NARWC,23
2012-02-15,Whale_CCS,0
2012-02-15,Whale_NARWC,76
2012-02-16,Whale_NARWC,3
2012-02-27,Whale_CCS,0
2012-02-27,Whale_NARWC,9
2012-02-29,Whale_CCS,0
2012-02-29,Whale_NARWC,60
2012-03-04,Whale_CCS,0
2012-03-04,Whale_NARWC,33
2012-03-12,Whale_NARWC,24
2012-03-16,Whale_NARWC,40
2012-03-17,Whale_CCS,0
2012-03-17,Whale_NARWC,31
2012-03-18,Whale_NARWC,1
2012-03-19,Whale_NARWC,51
2012-03-20,Whale_CCS,0
2012-03-20,Whale_NARWC,36
2012-03-21,Whale_NARWC,27
2012-03-23,Whale_CCS,0
2012-03-23,Whale_NARWC,38
2012-03-31,Whale_NARWC,2
2012-04-01,Whale_CCS,0
2012-04-01,Whale_NARWC,11
2012-04-06,Whale_CCS,0
2012-04-06,Whale_NARWC,2
2012-04-13,Whale_CCS,0
2012-04-13,Whale_NARWC,111
2012-04-17,Whale_CCS,0
2012-04-17,Whale_NARWC,26
2012-04-19,Whale_CCS,0
2012-04-19,Whale_NARWC,3
2012-04-26,Whale_CCS,0
2012-05-03,Whale_CCS,0
2012-05-07,Whale_CCS,0
2012-08-16,Whale_NARWC,1
2012-11-18,Whale_NARWC,1
2012-12-12,Whale_NARWC,1
2012-12-13,Whale_NARWC,15
2012-12-29,Whale_NARWC,5
2013-01-06,Whale_NARWC,4
2013-01-11,Whale_NARWC,32
2013-01-12,Whale_NARWC,4
2013-01-17,Whale_NARWC,2
2013-01-21,Whale_NARWC,2
2013-01-28,Whale_CCS,0
2013-01-28,Whale_NARWC,9
2013-02-05,Whale_CCS,0
2013-02-05,Whale_NARWC,13
2013-02-06,Whale_NARWC,7
2013-02-13,Whale_CCS,0
2013-02-13,Whale_NARWC,7
2013-02-19,Whale_CCS,0
2013-02-19,Whale_NARWC,1
2013-02-23,Whale_CCS,0
2013-02-23,Whale_NARWC,2
2013-02-26,Whale_NARWC,8
2013-03-11,Whale_CCS,0
2013-03-11,Whale_NARWC,4
2013-03-13,Whale_CCS,0
2013-03-13,Whale_NARWC,6
2013-03-18,Whale_CCS,0
2013-03-18,Whale_NARWC,28
2013-03-21,Whale_CCS,0
2013-03-21,Whale_NARWC,16
2013-03-27,Whale_CCS,0
2013-03-27,Whale_NARWC,4
2013-03-29,Whale_NARWC,2
2013-03-30,Whale_CCS,0
2013-03-30,Whale_NARWC,2
2013-04-04,Whale_CCS,0
2013-04-04,Whale_NARWC,4
2013-04-08,Whale_CCS,0
2013-04-08,Whale_NARWC,44
2013-04-10,Whale_CCS,0
2013-04-10,Whale_NARWC,58
2013-04-11,Whale_NARWC,13
2013-04-13,Whale_NARWC,5
2013-04-14,Whale_NARWC,49
2013-04-15,Whale_CCS,0
2013-04-15,Whale_NARWC,130
2013-04-17,Whale_CCS,0
2013-04-17,Whale_NARWC,96
2013-04-18,Whale_NARWC,24
2013-04-21,Whale_CCS,0
2013-04-21,Whale_NARWC,43
2013-04-23,Whale_NARWC,1
2013-04-26,Whale_CCS,0
2013-04-26,Whale_NARWC,137
2013-04-27,Whale_NARWC,117
2013-04-28,Whale_NARWC,62
2013-04-29,Whale_CCS,0
2013-04-29,Whale_NARWC,106
2013-04-30,Whale_NARWC,30
2013-05-01,Whale_CCS,0
2013-05-01,Whale_NARWC,52
2013-05-05,Whale_CCS,0
2013-10-31,Whale_NARWC,1
2013-12-29,Whale_NARWC,2
2014-01-05,Whale_NARWC,12
2014-01-10,Whale_NARWC,2
2014-01-16,Whale_NARWC,2
2014-01-17,Whale_NARWC,16
2014-02-01,Whale_NARWC,6
2014-02-08,Whale_NARWC,7
2014-02-12,Whale_NARWC,19
2014-02-20,Whale_NARWC,33
2014-02-23,Whale_NARWC,14
2014-03-01,Whale_CCS,0
2014-03-01,Whale_NARWC,11
2014-03-04,Whale_CCS,0
2014-03-04,Whale_NARWC,48
2014-03-07,Whale_NARWC,7
2014-03-08,Whale_NARWC,2
2014-03-10,Whale_NARWC,25
2014-03-12,Whale_NARWC,7
2014-03-14,Whale_NARWC,2
2014-03-17,Whale_CCS,0
2014-03-17,Whale_NARWC,7
2014-03-18,Whale_CCS,0
2014-03-18,Whale_NARWC,48
2014-03-19,Whale_NARWC,6
2014-03-23,Whale_CCS,0
2014-03-23,Whale_NARWC,55
2014-03-25,Whale_CCS,0
2014-03-25,Whale_NARWC,71
2014-04-02,Whale_CCS,0
2014-04-02,Whale_NARWC,77
2014-04-04,Whale_CCS,0
2014-04-04,Whale_NARWC,103
2014-04-06,Whale_CCS,0
2014-04-06,Whale_NARWC,67
2014-04-07,Whale_NARWC,6
2014-04-09,Whale_CCS,0
2014-04-09,Whale_NARWC,98
2014-04-12,Whale_CCS,0
2014-04-12,Whale_NARWC,127
2014-04-17,Whale_NARWC,3
2014-04-18,Whale_CCS,0
2014-04-18,Whale_NARWC,75
2014-04-19,Whale_NARWC,13
2014-04-21,Whale_CCS,0
2014-04-21,Whale_NARWC,56
